raceId,year,round,circuitId,name,date,time,url,driverId,driverRef,number,code,forename,surname,dob,nationality,driver_url,Car,Warning,Entire Line
1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,pit lane speeding,Offence - Car 11 - Pit lane speeding
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,incident with car 10,Offence - Car 11 - incident with car 10
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,leaving the track,Offence - Car 26 - leaving the track
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,leaving the track,Offence - Car 8 - leaving the track
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll,car 18,leaving the track,Offence - Car 18 - leaving the track
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll,car 18,collision with car 4,Offence - Car 18 - collision with car 4
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,impeding car 10,Offence - Car 11 - impeding car 10
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,847,russell,63,RUS,George,Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,car 63,pit exit,Offence - Car 63 - Pit Exit
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,pit lane speeding,Offence - Car 7 - Pit lane speeding
1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,https://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix,848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,car 23,causing a collision with car 26,Offence - Car 23 - causing a collision with car 26
1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,https://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,causing a collision with car 63,Offence - Car 7 - causing a collision with car 63
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,2nd practice start,Replacement for Document 47 - Offence - Car 44 - 2nd Practice Start
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,1st practice start,Replacement for Document 46 - Offence - Car 44 - 1st Practice Start
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,car 23,rd instruction turn 2,Offence - Car 23 - RD Instruction Turn 2
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,817,ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,http://en.wikipedia.org/wiki/Daniel_Ricciardo,car 3,rd instruction,Offence - Car 3 - RD Instruction
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,2nd practice start,Offence - Car 44 - 2nd Practice start
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,1st practice start,Offence - Car 44 - 1st Practice start
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,849,latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,http://en.wikipedia.org/wiki/Nicholas_Latifi,car 6,gearbox,Offence - Car 6 - Gearbox
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,car 23,gearbox,Offence - Car 23 - Gearbox
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,pit lane speeding - 2nd,Offence - Car 7 - Pit lane speeding (2nd)
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,830,max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,http://en.wikipedia.org/wiki/Max_Verstappen,car 33,pit lane speeding,Offence - Car 33 - Pit lane speeding
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,pit lane speeding,Offence - Car 7 - Pit lane speeding
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,pit entry,Offence - Car 7 - Pit entry
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,collision with car 7,Offence - Car 11 - collision with car 7
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,842,gasly,10,GAS,Pierre,Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly,car 10,pit lane speeding,Offence - Car 10 - Pit lane speeding
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,844,leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc,car 16,pit lane speeding,Offence - Car 16 - Pit lane speeding
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll,car 18,pit lane speeding,Offence - Car 18 - Pit lane speeding
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,849,latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,http://en.wikipedia.org/wiki/Nicholas_Latifi,car 6,pit lane speeding,Offence - Car 6 - Pit lane speeding
1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,841,giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,car 99,entering the closed pit lane.,Offence - Car 99 - Entering the closed pit lane.
1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,entering closed pit lane,Offence - Car 44 - Entering closed pit lane
1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,car 23,turn 1 incident with car 8,Offence - Car 23 - Turn 1 incident with car 8
1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,pit lane speeding,Offence - Car 26 - Pit lane speeding
1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,https://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,impeding car 8 in p3,Offence - Car 11 - impeding car 8 in P3
1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,https://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,ignoring blue flags,Offence - Car 26 - Ignoring Blue Flags
1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,https://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,ignoring blue flags,Offence - Car 11 - Ignoring Blue Flags
1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,825,kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen,car 20,re-joined the track in an unsafe manner,Offence - Car 20 - Re-joined the track in an unsafe manner
1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,839,ocon,31,OCO,Esteban,Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon,car 31,impending car 63,Offence - Car 31 - Impending Car 63
1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,844,leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc,car 16,pit lane speeding,Offence - Car 16 - Pit Lane Speeding
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,alleged moving under braking in turn 6,Offence - Car 8 - Alleged moving under braking in turn 6
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,841,giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,car 99,failure to slow under the safety car,Offence - Car 99 - Failure to slow under the safety car
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,848,albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,car 23,incident with car 20 at turn 18,Offence - Car 23 - Incident with Car 20 at Turn 18
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,new gearbox,Offence - Car 26 - New Gearbox
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,841,giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,car 99,turn 13 incident,Offence - Car 99 - Turn 13 incident
1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,825,kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen,car 20,driver aids on formation lap.,Offence - Car 20 - driver aids on formation lap.
1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,driver aids on formation lap.,Offence - Car 8 - driver aids on formation lap.
1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,849,latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,http://en.wikipedia.org/wiki/Nicholas_Latifi,car 6,unsafe release,Offence - Car 6 - unsafe release
1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,out of position at the start,Offence - Car 7 - Out of position at the start
1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,parc ferme,Offence - Car 8 Parc Ferme
1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,841,giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,car 99,gearbox,Offence - Car 99 - Gearbox
1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,844,leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc,car 16,impeding car 26,Offence - Car 16 - impeding car 26
1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,846,norris,4,NOR,Lando,Norris,1999-11-13,British,http://en.wikipedia.org/wiki/Lando_Norris,car 4,overtaking car 10 under yellow flags,Offence - Car 4 - Overtaking car 10 under yellow flags
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,track limits turn 18 2nd,Offence - Car 26 Track limits turn 10 2nd
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,track limits turn 9,Offence - CAr 26 - Track limits turn 9
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel,car 5,track limits turn 10 2nd,Offence - Car 5 - Track limits turn 10 2nd
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,incident with car 23,Offence - Car 44 - incident with car 23
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,815,perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,car 11,pit lane speeding,Offence - Car 11 - Pit lane speeding
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,track limits turn 10,Offence - Car 26 - Track limits turn 10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,track limits turn 10,Offence - Car 8 - Track limits turn 10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,track limits turn 9 - 2nd,Offence - Car 8 - Track limits turn 9 (2nd)
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,track limits turn 9,Offence - Car 8 - Track limits turn 9
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,failure to slow for yellow flags - post review,Offence - Car 44 - Failure to slow for yellow flags (post review)
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,leaving the track in turn 10,Offence - Car 44 - Leaving the track in turn 10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,track limits turn 9,Offence - Car 7 - Track Limits turn 9
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,track limits turn 10 - 3rd,Offence - Car 7 - Track Limits turn 10 (3rd)
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll,car 18,track limits turn10,Offence - Car 18 - Track limits turn10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,track limits in turn 10,Offence - Car 7 - Track Limits in turn 10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,825,kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen,car 20,track limits in turn 9,Offence - Car 20 - Track Limits in turn 9
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,track limits turn 10,Offence - Car 44 - Track Limits turn 10
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,840,stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll,car 18,track limits turn 9,Offence - Car 18 - Track Limits Turn 9
1030,2019,21,24,Abu Dhabi Grand Prix,2019-12-01,13:10:00,https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,822,bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas,car 77,pu elements,Offence - Car 77 (PU Elements)
1030,2019,21,24,Abu Dhabi Grand Prix,2019-12-01,13:10:00,https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,822,bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas,car 77,incident with car 8 in turn 11,Offence - Car 77 (incident with car 8 in turn 11)
1029,2019,20,18,Brazilian Grand Prix,2019-11-17,17:10:00,https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,807,hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg,car 27,overtaking under the safety car,Offence - Car 27 (overtaking under the safety car)
1029,2019,20,18,Brazilian Grand Prix,2019-11-17,17:10:00,https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,car 44,incident with car 23 in turn 10,Offence - Car 44 (incident with car 23 in turn 10)
1029,2019,20,18,Brazilian Grand Prix,2019-11-17,17:10:00,https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,9,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica,car 88,unsafel release from a pit stop,Offence - Car 88 (unsafel release from a pit stop)
